unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
"B0007P4G76:no_cash_back_here!:mr._b_""1st_gradeteacher""",B0007P4G76,Xtreme TB264DKO 264-Disc CD/DVD Case: Electronics,electronics,3 of 3,1.0,No Cash Back Here!,"May 15, 2006","Mr. B ""1st GradeTeacher""","Washington, D.C.","Please don't expect to get the cash back from this purchase as promised!  To date, I've been denied twice.  The second time they said the U P C number was invalid. Only, it's the original U P C barcode!  I was meticulous filing the paperwork, yet they state, ""All required products were not submitted.""  Meanwhile, I have phoned AMAZ0N to lodge a formal complaint.

The product itself is average.  I've used better and worse.  That said, it's definitely not worth the full asking price"
"B0007P4G76:tinstaafl:j._davis_""jimidee""",B0007P4G76,Xtreme TB264DKO 264-Disc CD/DVD Case: Electronics,electronics,6 of 10,2.0,TINSTAAFL,"March 23, 2006","J. Davis ""jimidee""","Columbia, SC USA/Tokyo, Japan","No free lunch & you get what you pay for...is that the verdict on this product?

Well, the poor rating given by those who have purchased this product has discouraged me from buying it.  I need disc binders and the Case Logic brand, while being the original, is pricey.  Low cost alternatives are needed, but not at the expense of quality and TCO (total cost of ownership).  But the flap about poor customer service (rebates) and poor quality (zippers and sleeve binding) is enough to give me pause.....  So, if someone from Xtreme's management is paying attention....fix it or be content to lose business.  Price isn't everything to everyone in the markt for your product.."
B0007P4G76:poor_quality_-_avoid:william_barham,B0007P4G76,Xtreme TB264DKO 264-Disc CD/DVD Case: Electronics,electronics,9 of 9,1.0,Poor quality - avoid,"February 15, 2006",William Barham,"Los Gatos, CA","I have a collection of over 1500 disks so I have bought many cd/dvd cases over the years and this brand is the worst quality on any that I have purchased.  I would avoid this brand.

[..."
"B00026KJ26:worst_choice_of_my_life:yeppy_fan_""alan""",B00026KJ26,Lexar Media 32X 1 GB Secure Digital Card (SD1GB-32-231): Electronics,electronics,10 of 21,1.0,worst choice of my life,"March 6, 2005","yeppy Fan ""alan""",NY,"Bought this a month ago for use with my DX4330 kodak 3MP digital camera. It worked for 2 days.After that, everytime I on the camera, it wanted me to reformat the card,WTH is that?
Now I can't use it at all....
I'm always so confidence with my previous purchases from Amazon.One mistake I made,I threw away the shipping and product packages once I tested out the card, thought It worked and It would be OK.I can no longer return it now.
Needless to say,I'm too over confident with LEXAR's products.
Buyers beware..."
"B00006RZ1G:well_built,_poorly_suited.:cyber_kid",B00006RZ1G,Saitek P880 Dual Analog PC Game Pad: Electronics,electronics,1 of 5,2.0,"Well built, poorly suited.","November 5, 2005",cyber kid,,"I purchased this game pad due to good reviews.
Found it online for $15 with free shipping so had to try myself.
Its true its built well and pretty comfortable in the hand.
The programming software is alright as well, not as nice as
the Nostromo n50/52 software for example.

But what i didnt like about it was much more relavant.
Firstly there is a toggle lock shift button.
This button is easy to press by accident and since it is not
a momentary button you have to go back and press it off agian.
Interupting game play.

Also buttons 7 and 8 are not paddles but rather thumb, and quite far from normal thumb use. I had a hard time using those buttons quickly.

Also the toggle and digital buttons cant be mapped for other uses so your limited to 8 total buttons rather than 10.

And finally, for some reason there was no way to invoke fight in NHL06, i couldnt live with that so i had to ship it back, and ill soon go with the logitech"
B00009YUPS:i_would_never_recommend_this_product_to_anyone:rono_wubker,B00009YUPS,ADS Tech DVD Express 2.0 (USBAV-701): Electronics,electronics,0 of 2,1.0,I Would Never Recommend this Product to Anyone,"August 19, 2006",Rono Wubker,California,I've only got this thing to work for about 3 hours and that is not in a row.  I've spent hours with this product on several machines and I can now say the hardware sucks.
B00009YUPS:freezes_and_tech_help_not_good:jud,B00009YUPS,ADS Tech DVD Express 2.0 (USBAV-701): Electronics,electronics,2 of 2,1.0,Freezes and tech help not good,"June 21, 2006",JUD,"Indiana, Richmond","I purchased dvd express and it never worked. I spent endless time with tech support. The old story about, ""It must be your computer."" did not fly either, my machine is a media type and it far exceeds the system requirements advertised by ADS. I exchanged the item and it was supposedly checked out before I got it. Same problems. Tech support told me I was the only person having trouble with this product. They need to check out a few websites that review products there are hundreds of bad reviews very few good ones. My only mistake was not reading them before I wasted my time and money. ADS also told me it would not work with Ulead's Movie Factory 3, some of the software it came bundled with, but that was Uleads problem. I should use Cap Wiz ( Their program ) DUH!!! Guess what, it did not work with their program either. Ulead said they had several complaints with ADS's product. Their final solution hold on to the product and maybe they will have a new version of cap wiz and that might work. Save yourself time money and aggravation buy another product! P.S. Since ADS doesn't consider the product defective they will not refund your money or allow you trade it in for an upgrade. I don't think they want a product like that either. The only reason I gave one star is.....it was packed well.
JU"
"B0000DK3I4:kingston_2_gb_sd_memory_card:bernard_kliks_""printmaker""",B0000DK3I4,Kingston 512 MB Secure Digital Card (SD/512): Electronics,electronics,,1.0,Kingston 2 GB SD Memory Card,"November 9, 2006","Bernard Kliks ""printmaker""","Portland, OR USA",This SD would not work in my  Nikon  Coolpix S6 camera (but the Fuji and Sandisk product did
B00006JPV8:sad_compared_to_older_models:james_c._titus,B00006JPV8,NOVI WI-4C 4-Channel FM Wireless Intercom: Electronics,electronics,1 of 1,1.0,Sad compared to older Models,"October 22, 2006",James C. Titus,,"Just purchased 3 units , thought they would work as well as the Novi units they were replacing however they have absolutely no range . My original Novi 2 channel units worked well from a distance of approx 110 ft from house to barn , these only work in the same room... I am attempting to return these currently."
"B0007N5LPE:look_for_other_alternatives...:barbara_a._blackburn_""jollyrb""",B0007N5LPE,Additional Units for Reporter� Wireless Portable Intercom: Electronics,electronics,1 of 1,1.0,Look for other alternatives...,"October 29, 2006","Barbara A. Blackburn ""JollyRB""",Chicago,"I bought four of these and returned them immediately. Two were dead out of the box. A third had horrible sound.

After searching the internet and reading a variety of reviews for similar products I finally settled on the 900 Megahertz Wireless Intercom from Radio Shack. (43-3102)

Beautiful sound. Well made and about half the price of the Reporter. Pretty much the same featues but it only claims a range of 300 feet as opposed to 1000 feet. So if you need more than 300 feet for range it's something to consider. Better warranty than the Reporter as well and for 8 bucks you can extend that warrarnty for another year.

Anyway I couldn't be happier with the RS intercom. I just can't recommend the Reporters given that 3 out of 4 units that arrived were faulty"
B000092WZ1:worked_great_at_first......:scott_a._urbaniak,B000092WZ1,Monster Cable Ultra-High Capacity 2100mAh AA Rechargeable Powercells (4 pack): Electronics,electronics,1 of 1,2.0,worked great at first......,"March 10, 2006",Scott A. Urbaniak,"milwaukee, WI","When I purchased these batteries, I was very pleased, but that wore off after a couple of months. I don't use my camera all that often, but when I do, I expect ther batteries to have some charge. I recharge them per instructions, and they do not hold a charge any longer.I know Monster makes good products, but I am a little disappointed in this one"
"B0006ZSW1S:kodak_card_reader:digial_rebel_""card_reader""",B0006ZSW1S,"Kodak 8 - in - 1  Multi-card Reader, KRW8IN1SCS: Electronics",electronics,,1.0,KODAK CARD READER,"November 2, 2006","digial REBEL ""card reader""",ny,I got this from JnR . This unit powers up but the computer fails to detect it. I tried this on multiple computers. MAy be this was just a lemon. I will exchange it to a better brand
B00004Z5QI:not_suitable_for_heavy_books:conal_ho,B00004Z5QI,Fellowes Book Lift Copyholder - For Use with Textbooks and Large Manuals: Electronics,electronics,1 of 1,1.0,Not suitable for heavy books,"October 10, 2006",Conal Ho,,"This bookstand, despite the description, is not suitable for heavy books. If you put heavy books on this, the stand that props up the whole unit is likely to snap off."
"B00004Z5QI:flimsy_product.:r._al_sarraj_""anyothermonday""",B00004Z5QI,Fellowes Book Lift Copyholder - For Use with Textbooks and Large Manuals: Electronics,electronics,1 of 1,2.0,Flimsy product.,"August 25, 2006","R. Al Sarraj ""anyothermonday""","Oberlin, OH","Its made of flimsy plastic, and all the parts snap on. I'm afraid to put a heavy book on there, because I'm sure the parts will just snap off"
B00004Z5QI:total_rip-off:m._warren,B00004Z5QI,Fellowes Book Lift Copyholder - For Use with Textbooks and Large Manuals: Electronics,electronics,32 of 33,1.0,Total rip-off,"August 8, 2005",M. Warren,USA,"In the ten minutes since I've had it out of the box two pieces have fallen off.  More importantly, It can't handle large manuals as advertised.  (The reason I purchased this particular book holder)  My 1000 page manual only fits if you happen to only want to read the middle chapter.  Based on that I estimate that this is a totally worthless product to anyone needing to go through a manual or training book more than five or six hundred pages.  If you don't anticipate needing it for a book that big then just glue the rubber feet on, keep an eye on the page retainers (these are the parts that fell off) and you should be ok.  As for me, I'm off to read Amazon's return policy and see if I can get rid of this useless hunk of plastic"
B0007XH72E:sent_it_back:s._anderson,B0007XH72E,JVC FSG5 180-Watt Micro Audio System with 5-Disc CD Changer and Digital AM/FM Tuner: Electronics,electronics,16 of 20,1.0,Sent it back,"October 2, 2005",S. Anderson,New Hampshire USA,"I had to send this item back because it stopped playing cds. The sound quality was good, but the dependability of this item is questionable."
B0000CD08M:poor_customer_service:j._l._knepp,B0000CD08M,SanDisk SDCFH-512-901 512 MB Ultra II CompactFlash Card (Retail Package): Electronics,electronics,0 of 3,1.0,poor customer service,"August 10, 2006",J. L. Knepp,"Somerset, PA United States","I purchased this memory card for a camera I was also purchasing. It was listed as an accessory to the camera on the same page. When I received the card first and then the camera, I was disappointed that the card was the wrong shape and size for the camera and would not fit. Because I had opened the plastic package to the card, I was unable to return it. In fact, when I emailed the company who sent it, I never even received a response."
B000CO77FA:told_by_company_that_it_would_take_up_to_four_weeks!:jason_e._luba,B000CO77FA,2-Year Replacement Plan for Electronics Products $50 to $74.99: Electronics,electronics,2 of 2,1.0,Told by company that it would take up to four weeks!,"November 1, 2006",Jason E. Luba,,"I am the type of person that ALWAYS buys the extra warranty on whatever I purchase.  However, I started reading the reviews on this company and many people reported that it was four weeks and counting and they still hadn't received their refund check.  I was astonished.  I contacted N.E.W. myself and asked them about this.  With no shame or embarrassment on the part of the customer service reps, I was informed that if I did everything by email, it would take AT LEAST 15 business days (that's three weeks!) to receive my refund check AFTER I sent them the warrantied item.  If I had them send me a pre-paid label for the defective item instead of using my own printer, it would take a week for me to receive and at least a week for them to receive the covered item.  In other words, it would take no less than four weeks to receive the replacement check and possibly up to eight weeks!  I cancelled the contract immediately.  It is just not worth it when you really do the math to purchase this contract.  I would recommend buying a product from a company that first makes a quality product and then back it up with a good warranty and gives good customer service such as Grado, Sennheiser or Koss.  But stay away from these people; that's my feeling and my advice."
"B0007Y79AI:i've_finally_learned_a_very_expensive_lesson:jane_cox_""linksys_fan""",B0007Y79AI,Apple 2 GB iPod Nano Black: Electronics,electronics,0 of 1,1.0,I've finally learned a VERY expensive lesson,"November 15, 2006","Jane Cox ""linksys fan""","Boca Raton, FL","DON'T BUY THIS PRODUCT. There, simple advice I wish someone had given me before I bought two of these. With the first one the battery died 13 months after purchase. Since it was 30 days outside the warrantly, apple support told me ""sorry, tough luck."" I made the mistake of buying another one figuring I just got a bad one and there was no way I could have the same problem again. WRONG!

Second ipod just died (same battery problem) - this one died within the warranty period but becuase it took me two weeks to get into the ipod store to see what was wrong and, of course, by the time I got in I was past the 12 month warranty period (who keeps track of the purchase date? I sure didn't).

Other than the fact that your substnatial investment will be worthless in about a year - it is a fantastic product. I'm just sorry that it didn't last (twice!) cause otherwise I'd be a fan"
"B0002MSTW2:had_pix_loss_w/lexar_cards:frederick_carr_""flrhcarr""",B0002MSTW2,Lexar Media 1 GB 80x Pro Series Compact Flash Card (CF1GB-80-380): Electronics,electronics,7 of 25,1.0,Had pix loss w/Lexar cards,"March 24, 2006","Frederick Carr ""flrhcarr""","Kent, WA","About three years ago, maybe four, I bought two Lexar CFII cards. One never worked, the other worked, but lost all data. I wrote to Lexar, that I had two bad cards, they sent me one new card of the same size. I gave that to my girlfriend & told her to only use it on pix she didn't care about losing. I still have my card, in a ziplock. None of the file removal programs will get the images off, & I've used all of them, & had their (file removal) tech help give up.

In this day & age of ""just make the item"" I am upset. But you take your chances. Do you want the only picture of your great grand-mother lost because you used a Lexar? I wouldn't, I use an actual sandisk card, myself.

If they ever (Lexar) made it right, I may have written a better review, but they haven't. So that tells me that they don't care.

How important are your pictures to you?


Frederic"
B00006HYUC:back-ups_es_drops_power_after_power_is_restored!:owen_ward,B00006HYUC,APC BE350U 350VA Back-ups Es: Electronics,electronics,8 of 11,1.0,Back-UPS ES drops power AFTER power is restored!,"November 17, 2005",Owen Ward,,"Most people buy a UPS, plug it in and never test it to make sure it works. I tested this device a number of times to make sure the software would at least shutdown the computer after an outage. I set it to shutdown Windows after 1 minute. Only the computer and a few small phone accessories are attached to it. 

After power was cut, it held the computer up and allowed it to shut down. Then I restored power to the UPS. AFter about 30 seconds, it beeped, clicked, and temporarily DROPPED power to the computer while it was rebooting! So when it switches back from battery power it causes power to be interrupted. That is unacceptable. A UPS should never drop power to the attached devices after power is restored to it."
B00006HYUC:beware!:a._bernay-roman,B00006HYUC,APC BE350U 350VA Back-ups Es: Electronics,electronics,49 of 54,2.0,Beware!,"November 23, 2003",A. BERNAY-ROMAN,"Jupiter, Florida USA","If you have a cable modem for broadband connection to the internet, your unit will not be covered by the APS warranty on this device. Lightning hit near our house and the motherboard plus router got fried. The cable modem stayed intact and we filed a claim with APS. They denied it saying backend surges through the cable may have caused the damage (even though the modem wasn't hurt?)"
"B000A5TBM8:unresolved_problem:leland_brun_""penguin_pictures""",B000A5TBM8,Sony DRU-810A Internal Double/Dual Layer and Dual Format DVD Burner: Electronics,electronics,,2.0,Unresolved problem,"November 10, 2006","Leland Brun ""Penguin Pictures""","Honeoye Falls, NY United States","I am still awaiting resolution of a problem I have with these drives. In writing DVDs I get verification errors. This proboem arises if the drives are used in an external firewire enclosure. The drive works fine if internal in your computer attached to the IDE bus, but there is an issue if attached to your computer by firewire"
"B000A5TBM8:wont_work_with_itunes_for_windows_:clifton_lowrey_""clifton""",B000A5TBM8,Sony DRU-810A Internal Double/Dual Layer and Dual Format DVD Burner: Electronics,electronics,0 of 5,1.0,wont work with itunes for windows,"September 25, 2006","Clifton Lowrey ""clifton""",oregon,"also import a cd , money down the drai"
"B000A5TBM8:worked_ok_for_about_230_days,_then_stopped.:paul_curtis",B000A5TBM8,Sony DRU-810A Internal Double/Dual Layer and Dual Format DVD Burner: Electronics,electronics,4 of 6,2.0,"Worked OK for about 230 days, then stopped.","August 23, 2006",Paul Curtis,"Jersey City, NJ United States","The drive arrived at the end of December, was quick to get up and running, and worked fine until yesterday.  Then it got the machine equivalent of ""lockjaw"" and I've been unable to get the tray to release.

So, it's a good drive while it operates, but I'll probably make sure I pay for at least a 1-year warranty on my next purchase.

As far as my recommendation goes, it depends very much on how inconvenient it is when one's drive fails.  Yesterday, I just went to a backup burner and kept working; if I had NEEDED to get the job done, and I had not previously developed a strategy of always keeping a backup device handy, I'd have been in a seething, hair-pulling rage.  Computer hardware is never 100% reliable, but is it worth the risk to purchase a device that is known to fail in less than a year"
"B0000B3AKR:garbage-stopped_working_after_2_months_of_extremely_gentle_use:optimist_""optimist2""",B0000B3AKR,Viking USB00512L2 512 MB USB 2.0 Portable Mini Flash Memory Device: Electronics,electronics,0 of 1,1.0,Garbage-stopped working after 2 months of extremely gentle use,"May 10, 2006","optimist ""optimist2""","Houston, TX United States","I never even traveled with it. It just stopped working completely making me lose data.

NEVER AGAIN I'll buy anything from this company. This drive is a piece of rubbish!"
B00008EM7V:dont_buy_not_worth_a_cent:a._cunningham,B00008EM7V,Memorex Optifix Motorized CD/DVD Cleaner and Scratch Repair Kit: Electronics,electronics,3 of 3,1.0,dont buy not worth a cent,"August 12, 2006",A. Cunningham,,got it at walmart can't even remove a scuff. i give it -100 good thing i could return it
"B00008EM7U:sorry_-_didn't_do_the_job_for_me:caris_""caris""",B00008EM7U,Memorex CD/DVD-Player Laser-Lens Cleaner: Electronics,electronics,1 of 4,2.0,sorry - didn't do the job for me,"July 8, 2006","caris ""caris""","Los Angeles, CA","i've given it 2 stars instead of 0 because after i used this CD, the sound from my system did seem to be a little better (the CD's were not skipping as much).  but the bottom line is it didn't fix the problem as the CDs are still skipping noticeably, although not as bad as before.  ... not sure if this has anything to do with the fact that my set has a 6-disk CD changer"
B0000AKVHF:this_junk_died_and_erased_100_images:poet/naturalist,B0000AKVHF,SanDisk SDDR-88-A15 8-in-1 USB 2.0 Hi-speed Reader (Retail Package): Electronics,electronics,0 of 7,1.0,This junk died and erased 100 images,"August 5, 2005",Poet/Naturalist,MN USA,"The is perhaps the lease durable item I have purchased in 40 years. It lights up just fine, and it is a reassuring led gold, but it refuses to do anything with my xd card. It worked just fine for 3-4 days, then erased about 100 photos, all of them irreplaceable. Cheap yes, but Cheap Junk."
"B000AY0HTU:doesn't_pass_the_test_of_time:i._oconnor_""philosopher""",B000AY0HTU,Logitech G15 Gaming Keyboard: Electronics,electronics,2 of 5,1.0,Doesn't pass the test of time,"October 3, 2006","I. OConnor ""Philosopher""",USA,"Great looking keyboard. Unfortunately all it takes is one minor spill and the keyboard is destroyed. That includes cleaning. And don't think you are ever going to take it apart and dry it. The keyboard self destructs after you have the, count them, 10s and 10s of screws.

I called their customer support. They weren't like DELL, nobody is that bad, but their resolution was to buy a new one from them for 50% off their retail price. shipping was extra. So you save maybe $10 off street prices.

All-in-all they are no longer the good company they were in the past. They need competition. So I'm pulling out my old logitech from retirement. Too bad they don't make those old keyboards anylonger"
"B0009V9I80:broken_within_hours._junk!:chris_b._wallace_""cbw""",B0009V9I80,Sony DAV-FX100W Wireless Home Theater Dream System: Electronics,electronics,2 of 5,1.0,Broken within hours. JUNK!,"June 27, 2006","Chris B. Wallace ""CBW""","Atlanta, GA","I ordered this item after reading the positive reviews here. BIG MISTAKE. Upon setting everything up, it all worked great for about two hours... then the dreaded ""UNPLUG/PROTECT"" screen came up. Now it won't turn on but for a few moments before returning to protect mode. (and no, it's not a short in the wires or overheating... it protects even when stone cold, and with no speakers plugged in) I called sony and they say it is a short in the box. So now my two options are to unhook everything, repack EXACTLY the way it came to me and reship back to the online store I bought it from (with enormous hastle and expense) or take the receiver in to a sony authorized service center (which happens to be across town, and only open monday-friday, 9-5pm. So much for being convenient). This thing is brand new and already needs repairs!!

On top of that, even out of the box, NONE of the video inputs worked. Audio was fine, but video was dead as a doornail, right from the start.

And even on top of the fact that this machine CAME broken... it sucks even when it works right! The DVDs take forever to load, and it comes with HDMI out, but NO HDMI IN! So if you're an HDMI user, I hope you have multiple HDMI inputs on your television... one for your cable box, one for this crappy system.

This is a piece of junk. For the love of god, don't waste your money"
B0002ZAIM8:get_a_2g!:videogamer,B0002ZAIM8,Apple 1 GB iPod Shuffle: Electronics,electronics,,1.0,Get a 2G!,"November 18, 2006",videogamer,"Lockport,NY","Why would you want this item? Amazon is charging $50 MORE on this item than the 2nd Generation Shuffle! And, according to what I have read, THIS Shuffle isn't very derable. It doesn't even last a year! I don't know about you, but I'LL get a 2nd Generation Shuffle"
"B0002ZAIM8:died_suddenly..._repair_impractical,_lost_my_stuff:mike_warot_""--mike--""",B0002ZAIM8,Apple 1 GB iPod Shuffle: Electronics,electronics,1 of 3,1.0,"Died suddenly... repair impractical, lost my stuff","October 27, 2006","Mike Warot ""--Mike--""","Hammond, Indiana","One day it just stopped working. I got the dreaded ""orange and green flashing lights of death""... the contents of the File space were un-recoverable... and I ended up just pitching it after extensive attempts to revive it.

Apparently this is yet another one of the bad products that Apple likes to keep hush-hush"
B0002ZAIM8:unreliable.__cute_design.__bad_engineering.__poor_quality_control:d._austin,B0002ZAIM8,Apple 1 GB iPod Shuffle: Electronics,electronics,5 of 7,1.0,Unreliable.  Cute Design.  Bad Engineering.  Poor Quality Control,"September 18, 2006",D. Austin,DC Area,"My shuffle suffered the blinking green-orange lights so I took it into the Apple store. A salesman took 15 minutes to figure out that he couldn't do anything, and said I would have to sign up for a appointment at the ""Genius"" bar. At that appointment, the ""genius"" said he couldn't fix it, and because he said he didn't know anything about engineering he couldn't say whether the shuffle was not working because of a software or a hardware problem or both. Apparently being an Apple ""genius"" doesn't involve understanding how things work, though it does appear to require having a trendy haircut. The 'genius"" then offered a $10 discount on the purchase of a new shuffle - but couldn't answer the question of why anyone would want to waste money on such a poorly designed thing.

Perhaps it should be retitled the ""idiot bar."
"B000BNMDC4:broke_very_easily:teresa_e._glodek_""tglodek""",B000BNMDC4,DLO 009-3032 Transpod All-in-One Car Solution for iPod (Silver): Electronics,electronics,,1.0,Broke very easily,"November 3, 2006","Teresa E. Glodek ""tglodek""","Ann Arbor, MI",The extendable arm breaks very easily.  I had two of them and they both broke within the first month.  The company does have a 3 month warranty but you have to pay for shipping to send it back to them and I have been waiting over a month for my replacement.  Very poor product.  Do not buy
"B0009FTMK0:better_not_to_buy:rajagopal_alagarsamy_""-_raj""",B0009FTMK0,"SanDisk 2 GB Cruzer Micro USB Flash Drive (SDCZ4-2048-A10, Retail Package): Electronics",electronics,11 of 13,2.0,Better Not to Buy,"May 17, 2006","Rajagopal Alagarsamy ""- Raj""","Concord, CA USA","I'm the consumer of SanDisk USB flash drives. I have used couple of sandisk flash drives (i.e. 512MB Mini, 256MB Mini) before I bought this product. 

Performance wise this particular product is not doing good. It's taking long time to copy files from my computers. Even it's taking long time to delete files from this disk. So I returned to Amazon and looking for Mini products from SanDisk.

I doubt all the Micro products which is having capacity more than 512MB. Now I'm planning to buy 512MB or 1GB SanDisk Mini USB flash drive.  

Better buy some good one than wasting your time on this product"
B0007PGADE:be_careful:k._young,B0007PGADE,Memorex DVD+R 16x 4.7GB 50 Pack Spindle: Electronics,electronics,1 of 1,1.0,Be Careful,"November 2, 2006",K. Young,"San Diego, Ca",These disks would not work with my Sony brand DVD writer. I have tried several other brands and so far everything works but Memorex.
"B0007PGADE:garbage!:j._radell_""joecritic""",B0007PGADE,Memorex DVD+R 16x 4.7GB 50 Pack Spindle: Electronics,electronics,2 of 2,1.0,Garbage!,"September 18, 2006","J. Radell ""JoeCritic""",VA,"To back up my personal DVD collection I burned 200 discs.  100 on these Memorex DVD+R's, 100 on Philips DVD+R's.  EVERY Memorex had flaws during playback.  EVERY Philips was flawless.  I've been buying Memorex for years but I'll never buy Memorex again"
B0007WKB14:broke_after_1+_year:pedro_marmol,B0007WKB14,Panasonic DMR-ES10S DIGA Series DVD Recorder (Silver): Electronics,electronics,3 of 3,2.0,broke after 1+ year,"July 19, 2006",Pedro Marmol,"Austin, Texas United States","Overall the recorder worked OK. A moderate inconvenience was that once in a while the recorded DVDs could not be finalized for unexplained reasons.
However, that is irrelevant now. A few weeks ago, the unit stop working. I does not turn on at all. What a waist! It is out of warranty now"
